 Copyright (C) 1995-2014 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.2.0
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.


Variable: T (file variable)
Type: float
Total Size: 22915728 bytes
            5728932 values
Number of Dimensions: 4
Dimensions and sizes:	[Time | 33] x [bottom_top | 34] x [south_north | 69] x [west_east | 74]
Coordinates: 
Number Of Attributes: 6
  FieldType :	104
  MemoryOrder :	XYZ
  description :	perturbation potential temperature (theta-t0)
  units :	K
  stagger :	
  coordinates :	XLONG XLAT
(0,0,9,33)	4.721436
(0,0,9,34)	3.718719
(0,0,9,35)	2.94574
(0,0,9,36)	2.516357
(0,0,9,37)	2.409119
(0,0,9,38)	2.460876
(0,0,9,39)	2.511322
(0,0,9,40)	2.504425
(0,0,9,41)	2.58551
(0,0,9,42)	2.69873
(0,0,9,43)	2.590759
(0,0,9,44)	2.301819
(0,0,9,45)	1.989685
(0,0,9,46)	1.870636
(0,0,9,47)	1.488861
(0,0,9,48)	1.647003
(0,0,9,49)	1.272095
(0,0,9,50)	1.042389
(0,0,9,51)	0.8652649
(0,0,9,52)	0.6251831
(0,0,9,53)	0.4033813
(0,0,9,54)	0.2780457
(0,0,9,55)	1.003052
(0,0,9,56)	2.07309
(0,0,9,57)	2.517212
(0,0,9,58)	3.343231
(0,0,9,59)	3.490143
(0,0,9,60)	3.674347
(0,0,9,61)	3.94928
(0,0,9,62)	4.08902
(0,0,9,63)	4.346771
(0,0,9,64)	4.597992
(0,0,9,65)	5.136444
(0,0,9,66)	5.867218
(0,0,9,67)	5.766907
(0,0,9,68)	5.56427
(0,0,9,69)	5.879272
(0,0,9,70)	4.573212
(0,0,9,71)	4.591797
(0,0,9,72)	4.590332
(0,0,9,73)	4.52655
(0,0,10,0)	14.5636
(0,0,10,1)	14.73251
(0,0,10,2)	14.33804
(0,0,10,3)	13.73221
(0,0,10,4)	13.48074
(0,0,10,5)	12.07599
(0,0,10,6)	12.8606
(0,0,10,7)	13.83572
(0,0,10,8)	13.81189
(0,0,10,9)	12.66443
(0,0,10,10)	12.36325
(0,0,10,11)	12.20148
(0,0,10,12)	11.92886
(0,0,10,13)	11.5524
(0,0,10,14)	12.2749
(0,0,10,15)	11.95474
(0,0,10,16)	12.02725
(0,0,10,17)	12.13318
(0,0,10,18)	11.84418
(0,0,10,19)	11.56555
(0,0,10,20)	11.28467
(0,0,10,21)	9.722168
(0,0,10,22)	9.66275
(0,0,10,23)	9.548279
